t,z
3.74,32.450001
3.75,32.509998
3.76,32.77
3.77,33.27
3.78,33.279999
3.79,33.580002
3.8,33.919998
3.81,33.860001
3.82,33.880001
3.83,33.299999
3.84,33.009998
3.85,33.07
3.86,33.759998
3.87,34.130001
3.88,34.450001
3.89,34.490002
3.9,34.639999
3.91,34.919998
3.92,34.959999
3.93,34.990002
3.94,34.580002
3.95,33.759998
3.96,33.720001
3.97,35.73
3.98,35.57
3.99,35.52
4,35.540001
4.01,35.41
4.02,35.529999
4.03,35.939999
4.04,36.639999
4.05,38.18
4.06,37.5
4.07,37.779999
4.08,37.59
4.09,37.360001
4.1,38.16
4.11,38.02
4.12,37.84
4.13,37.200001
4.14,36.740002
4.15,37.080002
4.16,37.400002
4.17,37.57
4.18,37.639999
4.19,37.349998
4.2,37.599998
4.21,38.130001
4.22,38.450001
4.23,38.310001
4.24,38.939999
4.25,38
4.26,38.360001
4.27,38.709999
4.28,38.110001
4.29,37.610001
4.3,37.220001
4.31,36.689999
4.32,36.889999
4.33,36.52
4.34,36.580002
4.35,36.25
4.36,36.799999
4.37,36.619999
4.38,37.080002
4.39,37.439999
4.4,37.290001
4.41,37.290001
4.42,37.41
4.43,37.16
4.44,36.91
4.45,36.130001
4.46,36.41
4.47,35.759998
4.48,35.529999
4.49,36.040001
4.5,34.98
4.51,35.779999
4.52,36.759998
4.53,36.889999
4.54,36.380001
4.55,36.169998
4.56,35.93
4.57,36.060001
4.58,36.810001
4.59,36.029999
4.6,36.27
4.61,36.66
4.62,36.860001
4.63,37.84
4.64,36.48
4.65,36.349998
4.66,35.82
4.67,36.18
4.68,36.560001
4.69,36.799999
4.7,37.169998
4.71,37.470001
4.72,37.610001
4.73,37.619999
4.74,37.419998
4.75,37.509998
4.76,37.75
4.77,37.98
4.78,37.689999
4.79,37.540001
4.8,37.470001
4.81,37.860001
4.82,38.310001
4.83,37.779999
4.84,38.41
4.85,38.110001
4.86,38.150002
4.87,37.900002
4.88,37.82
4.89,38.02
4.9,38.27
4.91,37.889999
4.92,37.700001
4.93,38.049999
4.94,39.549999
